event_name,ticker,RIC,SEDOL,name,conviction,prediction_date,announcement_date,trade_date,side,demand_usd,demand_shares,demand_adv,days_to_announcement,creator,benchmark_index,country,exp_reporting_date,announceDt_minus30D,static_data_st_dt,lookback_st_dt,lookback_end_dt,lookback_duration,lookback_end_days_ago,ticker_px_close_1D,ticker_pct_chg_1D,ticker_pct_chg_5D,ticker_pct_chg_30D,ticker_pct_chg_90D,index_px_close_1D,index_pct_chg_1D,index_pct_chg_5D,index_pct_chg_30D,index_pct_chg_90D,ticker_30DpreA_px_last,index_30DpreA_px_last,ticker_vs_index_1D,ticker_vs_index_5D,ticker_vs_index_30D,ticker_vs_index_90D,ticker_vs_ticker_30DpreA,index_vs_index_30DpreA,ticker_vs_index_30DpreA,average_volume,excess_volume1D_A,excess_volume5D_A,excess_volume15D_A,excess_volume30D_A,excess_volume1D_B,excess_volume5D_B,excess_volume15D_B,excess_volume30D_B
FTSE TW50 March,4938 TT Equity,4938.TW,B4PLX17,Pegatron Corp,Low,"Feb 21, 22","Mar 03, 22","Mar 18, 22",-1,-34.156116499397754,-13565484.157770805,-2.3363649865654432,0 days,Brian Freitas,TW50 Index,TT,"Mar 25, 22","Feb 01, 22","Jan 04, 21","Jun 03, 21","Sep 03, 21",92 days,181 days,69.9,-0.005689900426742445,0.013043478260869712,-0.014104372355430161,0.02945508100147265,13961.12,-0.003559348768359616,0.009684527825931655,-0.03762342385564954,0.03780241410941243,,,-0.002130551658382829,0.0033589504349380572,0.02351905150021938,-0.00834733310793978,,,,8624351.333333334,-0.295090413786687,-0.8996213865080435,-4.076761459952781,-6.1534832836896936,-0.295090413786687,-0.39063476135727315,-2.3267532486300975,-3.6913451632796037
ASX50 March,BSL AU Equity,BSL.AX,6533232,BlueScope Steel Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,51.19158040809634,3740419.605793257,1.863865205736302,1 days,Brian Freitas,AS51 Index,AU,"Aug 15, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,20.72,0.032901296111665035,0.0997876857749469,0.061421033758516375,0.0069544003226920115,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,18.9387,7087.687,0.03006738266051756,0.08175911694986149,0.0921641736588158,0.04917554199558427,0.09405608621499884,0.004087511200762783,0.08996857501423605,2254805.876923077,0.4743091177067751,2.1960914766520028,3.2598136388946606,7.172362600911502,0.4743091177067751,1.3352984145134528,1.6035746297889857,2.2343842680464414
ASX50 March,BSL AU Equity,BSL.AX,6533232,BlueScope Steel Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,51.19158040809634,3740419.605793257,1.863865205736302,1 days,Brian Freitas,AS51 Index,AU,"Aug 15, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,20.72,0.032901296111665035,0.0997876857749469,0.061421033758516375,0.0069544003226920115,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,18.9387,7087.687,0.03006738266051756,0.08175911694986149,0.0921641736588158,0.04917554199558427,0.09405608621499884,0.004087511200762783,0.08996857501423605,2254805.876923077,0.4743091177067751,2.1960914766520028,3.2598136388946606,7.172362600911502,0.4743091177067751,1.3352984145134528,1.6035746297889857,2.2343842680464414
ASX50 March,AZJ AU Equity,AZJ.AX,B87CVM3,Aurizon Holdings Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",-1,-37.431852593926315,-14065901.43887992,-1.856641538016397,1 days,Brian Freitas,AS51 Index,AU,"Aug 08, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,3.45,-0.019886363636363535,-0.02127659574468077,-0.02127659574468077,0.03578719827068588,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,3.525,7087.687,-0.02272027708751101,-0.03930516456976618,0.00946654415561865,0.07800833994357814,-0.02127659574468077,0.004087511200762783,-0.025364106945443554,9906710.384615384,0.5843094131647129,1.5093904339638056,4.145091978933422,4.788142214289651,0.5843094131647129,1.1873128728167552,2.1259576610155864,1.7493607851253943
ASX50 March,AZJ AU Equity,AZJ.AX,B87CVM3,Aurizon Holdings Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",-1,-37.431852593926315,-14065901.43887992,-1.856641538016397,1 days,Brian Freitas,AS51 Index,AU,"Aug 08, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,3.45,-0.019886363636363535,-0.02127659574468077,-0.02127659574468077,0.03578719827068588,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,3.525,7087.687,-0.02272027708751101,-0.03930516456976618,0.00946654415561865,0.07800833994357814,-0.02127659574468077,0.004087511200762783,-0.025364106945443554,9906710.384615384,0.5843094131647129,1.5093904339638056,4.145091978933422,4.788142214289651,0.5843094131647129,1.1873128728167552,2.1259576610155864,1.7493607851253943
ASX200 March,HMC AU Equity,HMC.AX,BJRBL61,Home Consortium Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,23.918089142285904,5210107.255475568,20.65683110702305,1 days,Brian Freitas,AS51 Index,AU,"Aug 24, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,6.62,-0.007496251874062887,0.10465892404218402,-0.10533286482687787,-0.17390436258360786,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,6.4881,7087.687,-0.010330165325210361,0.08663035521709861,-0.07458972492657845,-0.1316832209107156,0.020329526363650263,0.004087511200762783,0.01624201516288748,611663.0923076923,-0.034203536236304635,-0.007622964286718153,-0.5542126568662779,-1.4066863520954132,0.0,0.0631332138199123,0.005518223915894093,-0.15301522586194227
ASX200 March,HMC AU Equity,HMC.AX,BJRBL61,Home Consortium Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,23.918089142285904,5210107.255475568,20.65683110702305,1 days,Brian Freitas,AS51 Index,AU,"Aug 24, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,6.62,-0.007496251874062887,0.10465892404218402,-0.10533286482687787,-0.17390436258360786,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,6.4881,7087.687,-0.010330165325210361,0.08663035521709861,-0.07458972492657845,-0.1316832209107156,0.020329526363650263,0.004087511200762783,0.01624201516288748,611663.0923076923,-0.034203536236304635,-0.007622964286718153,-0.5542126568662779,-1.4066863520954132,0.0,0.0631332138199123,0.005518223915894093,-0.15301522586194227
ASX200 March,AVZ AU Equity,AVZ.AX,B23G0B9,AVZ Minerals Ltd,Medium,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,42.429610149628395,73480705.71652168,2.622839037383117,1 days,Brian Freitas,AS51 Index,AU,"Mar 14, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,0.875,0.02941176470588247,0.24113475177304977,0.09375,1.4305555555555558,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,0.755,7087.687,0.026577851254734997,0.22310618294796436,0.12449313990029942,1.472776697228448,0.1589403973509933,0.004087511200762783,0.15485288615023052,14375642.222222222,0.2440116844678901,1.8812914702016368,4.79884868045547,8.798372811326574,0.2440116844678901,1.42918385291853,2.7564673372030604,4.422284969581899
ASX200 March,AVZ AU Equity,AVZ.AX,B23G0B9,AVZ Minerals Ltd,Medium,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,42.429610149628395,73480705.71652168,2.622839037383117,1 days,Brian Freitas,AS51 Index,AU,"Mar 14, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,0.875,0.02941176470588247,0.24113475177304977,0.09375,1.4305555555555558,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,0.755,7087.687,0.026577851254734997,0.22310618294796436,0.12449313990029942,1.472776697228448,0.1589403973509933,0.004087511200762783,0.15485288615023052,14375642.222222222,0.2440116844678901,1.8812914702016368,4.79884868045547,8.798372811326574,0.2440116844678901,1.42918385291853,2.7564673372030604,4.422284969581899
ASX200 March,DEG AU Equity,DEG.AX,6534837,De Grey Mining Ltd,High,"Feb 18, 22","Mar 04, 22","Mar 18, 22",1,30.075314664644406,33677588.4982121,5.551708104675011,1 days,Brian Freitas,AS51 Index,AU,"Mar 10, 22","Feb 02, 22","Jan 04, 21","Jun 04, 21","Sep 04, 21",92 days,180 days,1.225,0.038135593220339103,0.06060606060606055,-0.14930555555555547,0.09375,7116.658,0.002833913451147474,0.01802856882508541,-0.03074313990029942,-0.04222114167289226,1.2,7087.687,0.03530167976919163,0.04257749178097514,-0.11856241565525605,0.13597114167289226,0.02083333333333348,0.004087511200762783,0.016745822132570698,7122898.292307693,0.13617883323016972,0.6262064618902606,1.0603979443860863,1.139405905883266,0.13617883323016972,0.38441859112816895,0.4095853524244602,0.28637020457104007
